NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE
services             pod/cray-shared-kafka-zookeeper-1                                     1/1     Running     0               2d10h
services             pod/cray-shared-kafka-zookeeper-2                                     1/1     Running     0               2d9h
services             pod/cray-sls-9d467b6d6-lxt8h                                          2/2     Running     0               2d9h
services             pod/cray-sls-9d467b6d6-ns8pv                                          2/2     Running     0               2d10h
services             pod/cray-sls-9d467b6d6-nvxm7                                          2/2     Running     0               2d10h
services             pod/cray-sls-postgres-0                                               3/3     Running     0               2d6h
services             pod/cray-sls-postgres-1                                               3/3     Running     0               2d8h
services             pod/cray-sls-postgres-2                                               3/3     Running     0               2d6h
services             pod/cray-smd-79dc846fcb-2vqwk                                         2/2     Running     0               2d11h
services             pod/cray-smd-79dc846fcb-lj2v2                                         2/2     Running     0               2d11h
services             pod/cray-smd-79dc846fcb-r4wtn                                         2/2     Running     0               2d9h
services             pod/cray-smd-postgres-0                                               3/3     Running     0               2d6h
services             pod/cray-smd-postgres-1                                               3/3     Running     0               2d6h
services             pod/cray-smd-postgres-2                                               3/3     Running     0               2d8h
services             pod/cray-sts-6b8bb75c68-bwt25                                         2/2     Running     0               2d9h
